year,"Unemployment, female (% of female labor force) ",interest rate lending,Inflation (Consumer Prices (annual %)),"Unemployment(Male, % of Male labor force)",WageGap in self-employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,9.923000336,0,3.158197519,5.577000141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,7.813000202,0,3.183585695,4.052000046,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,7.698999882,0,2.584181156,5.336999893,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,8.053999901,0,2.801526937,6.543000221,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,8.668000221,0,1.923224572,6.105000019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,8.119000435,0,2.113787871,5.205999851,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,7.149000168,0,2.109245627,4.324999809,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,5.806000233,0,1.959136323,3.35800004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,4.855000019,3.458333333,2.157179181,2.693000078,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3.46600008,4.791666667,2.360522338,2.174000025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2.522000074,5,4.155841272,1.812000036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2.881999969,3.958333333,3.287531047,2.29399991,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3.796999931,3,2.09199839,3.427000046,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,5.046000004,2.75,1.263647392,4.335000038,37.01442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,5.06799984,2.770833333,1.688130179,4.438000202,38.55967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.923000336,7.813000202,7.698999882,8.053999901,8.668000221,8.119000435,7.149000168,5.806000233,4.855000019,3.46600008,2.522000074,2.881999969,3.796999931,5.046000004,5.06799984,4.356999874,3.63499999,3.012000084,3.459000111,4.510000229,5.419000149,6.230999947,7.298999786,7.756999969,7.269999981,6.518000126,5.260000229
2006,4.356999874,3.541666667,1.101501065,3.528000116,42.26968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3.63499999,4.604166667,1.613858598,2.803999901,44.16867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,3.012000084,4.604166667,2.486501983,2.532000065,41.46991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,3.459000111,1.983333333,1.18977687,3.368999958,35.05296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,4.510000229,1.75,1.275305696,4.400000095,30.3141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,5.419000149,2,2.341070178,4.607999802,27.78578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,6.230999947,1.625,2.455547653,5.46999979,26.04766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,7.298999786,0,2.506898527,7.18900013,22.18454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,7.756999969,0,0.97603508,7.136000156,22.8437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,7.269999981,0,0.600248147,6.53000021,23.43887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,6.518000126,0,0.316666667,5.576000214,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5.260000229,0,1.381458714,4.480000019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
